CMDLINE C:\Users\pribu\AppData\Local\Programs\Python\Python311\python.exe main.py
MEM 1.667969 1683794896.5646
MEM 27.246094 1683794896.6713
MEM 34.140625 1683794896.7717
MEM 34.140625 1683794896.8722
MEM 34.140625 1683794896.9727
MEM 34.140625 1683794897.0733
MEM 34.140625 1683794897.1737
MEM 34.140625 1683794897.2743
MEM 34.140625 1683794897.3748
MEM 34.144531 1683794897.4752
MEM 34.144531 1683794897.5759
MEM 34.144531 1683794897.6766
MEM 34.167969 1683794897.7771
MEM 34.167969 1683794897.8778
MEM 34.167969 1683794897.9781
MEM 34.167969 1683794898.0785
MEM 34.167969 1683794898.1789
MEM 34.167969 1683794898.2794
MEM 34.171875 1683794898.3798
MEM 45.718750 1683794898.4801
MEM 56.363281 1683794898.5807
MEM 61.835938 1683794898.6811
MEM 61.835938 1683794898.7818
MEM 61.917969 1683794898.8824
MEM 61.949219 1683794898.9827
MEM 61.984375 1683794899.0832
MEM 61.988281 1683794899.1841
MEM 61.988281 1683794899.2849
MEM 61.988281 1683794899.3856
MEM 61.988281 1683794899.4861
MEM 61.996094 1683794899.5867
MEM 61.996094 1683794899.6875
MEM 62.136719 1683794899.7880
MEM 62.187500 1683794899.8891
MEM 62.300781 1683794899.9899
MEM 60.757812 1683794900.0902
MEM 60.757812 1683794900.1907
MEM 65.253906 1683794900.2914
MEM 69.328125 1683794900.3920
MEM 69.328125 1683794900.4928
MEM 69.328125 1683794900.5939
MEM 69.328125 1683794900.6944
MEM 69.328125 1683794900.7949
MEM 69.328125 1683794900.8957
MEM 69.328125 1683794900.9964
MEM 69.328125 1683794901.0971
MEM 69.328125 1683794901.1979
MEM 69.328125 1683794901.2986
MEM 69.328125 1683794901.3995
MEM 69.328125 1683794901.5005
MEM 69.328125 1683794901.6009
MEM 69.328125 1683794901.7014
MEM 69.328125 1683794901.8022
MEM 69.328125 1683794901.9031
MEM 69.328125 1683794902.0035
MEM 69.328125 1683794902.1041
MEM 69.328125 1683794902.2046
MEM 69.328125 1683794902.3052
MEM 69.328125 1683794902.4058
MEM 69.378906 1683794902.5065
MEM 69.757812 1683794902.6067
MEM 69.757812 1683794902.7072
MEM 69.757812 1683794902.8078
MEM 69.757812 1683794902.9080
MEM 69.757812 1683794903.0086
MEM 69.757812 1683794903.1089
MEM 69.757812 1683794903.2093
MEM 69.757812 1683794903.3095
MEM 69.757812 1683794903.4096
MEM 69.757812 1683794903.5102
MEM 69.757812 1683794903.6107
MEM 69.757812 1683794903.7114
MEM 69.757812 1683794903.8118
MEM 69.757812 1683794903.9124
MEM 69.757812 1683794904.0130
MEM 69.757812 1683794904.1137
MEM 69.757812 1683794904.2139
MEM 69.757812 1683794904.3145
MEM 69.757812 1683794904.4148
MEM 69.757812 1683794904.5150
MEM 69.757812 1683794904.6151
MEM 69.757812 1683794904.7157
MEM 69.757812 1683794904.8160
MEM 69.757812 1683794904.9162
MEM 69.757812 1683794905.0169
MEM 69.757812 1683794905.1171
MEM 69.757812 1683794905.2175
MEM 69.757812 1683794905.3179
MEM 69.757812 1683794905.4182
MEM 69.757812 1683794905.5188
MEM 69.757812 1683794905.6191
MEM 69.757812 1683794905.7196
MEM 69.757812 1683794905.8198
MEM 69.757812 1683794905.9203
MEM 69.757812 1683794906.0207
MEM 69.757812 1683794906.1212
MEM 69.757812 1683794906.2214
MEM 69.781250 1683794906.3218
MEM 69.781250 1683794906.4226
MEM 69.781250 1683794906.5234
MEM 69.781250 1683794906.6238
MEM 69.777344 1683794906.7245
MEM 69.777344 1683794906.8253
MEM 69.777344 1683794906.9257
MEM 69.777344 1683794907.0262
MEM 69.777344 1683794907.1269
MEM 69.777344 1683794907.2272
MEM 69.789062 1683794907.3279
MEM 69.789062 1683794907.4284
MEM 69.789062 1683794907.5289
MEM 69.789062 1683794907.6296
MEM 69.789062 1683794907.7302
MEM 69.789062 1683794907.8307
MEM 69.785156 1683794907.9316
MEM 69.785156 1683794908.0324
MEM 69.785156 1683794908.1327
MEM 69.785156 1683794908.2334
MEM 69.785156 1683794908.3339
MEM 69.785156 1683794908.4344
MEM 69.785156 1683794908.5349
MEM 69.785156 1683794908.6351
MEM 69.785156 1683794908.7356
MEM 69.789062 1683794908.8361
MEM 69.789062 1683794908.9369
MEM 69.789062 1683794909.0374
MEM 69.789062 1683794909.1382
MEM 69.789062 1683794909.2387
MEM 69.789062 1683794909.3391
MEM 69.789062 1683794909.4396
MEM 69.789062 1683794909.5402
MEM 69.789062 1683794909.6409
MEM 69.789062 1683794909.7416
MEM 69.789062 1683794909.8423
MEM 69.789062 1683794909.9429
MEM 69.789062 1683794910.0435
MEM 69.789062 1683794910.1440
MEM 69.789062 1683794910.2446
MEM 69.789062 1683794910.3452
MEM 69.789062 1683794910.4458
MEM 69.789062 1683794910.5466
MEM 69.789062 1683794910.6474
MEM 69.789062 1683794910.7481
MEM 69.789062 1683794910.8487
MEM 69.789062 1683794910.9490
MEM 69.789062 1683794911.0498
MEM 69.789062 1683794911.1503
MEM 69.789062 1683794911.2509
MEM 69.785156 1683794911.3514
MEM 69.785156 1683794911.4517
MEM 69.785156 1683794911.5522
MEM 69.785156 1683794911.6529
MEM 69.785156 1683794911.7534
MEM 69.785156 1683794911.8537
MEM 69.785156 1683794911.9540
MEM 69.785156 1683794912.0544
MEM 69.785156 1683794912.1547
MEM 69.785156 1683794912.2698
MEM 69.785156 1683794912.3703
MEM 69.785156 1683794912.4707
MEM 69.785156 1683794912.5713
MEM 69.785156 1683794912.6717
MEM 69.785156 1683794912.7723
MEM 69.785156 1683794912.8724
MEM 69.785156 1683794912.9726
MEM 69.785156 1683794913.0731
MEM 69.785156 1683794913.1733
MEM 69.785156 1683794913.2737
MEM 69.785156 1683794913.3739
MEM 69.785156 1683794913.4744
MEM 69.785156 1683794913.5750
MEM 69.785156 1683794913.6755
MEM 69.785156 1683794913.7758
MEM 69.785156 1683794913.8764
MEM 69.785156 1683794913.9766
MEM 69.785156 1683794914.0770
