CMDLINE C:\Users\pribu\AppData\Local\Programs\Python\Python311\python.exe main.py
MEM 1.660156 1683795690.2774
MEM 27.574219 1683795690.3932
MEM 34.246094 1683795690.4938
MEM 34.246094 1683795690.5941
MEM 34.246094 1683795690.6948
MEM 34.246094 1683795690.7952
MEM 34.246094 1683795690.8957
MEM 34.246094 1683795690.9960
MEM 34.246094 1683795691.0966
MEM 34.269531 1683795691.1970
MEM 34.269531 1683795691.2974
MEM 34.269531 1683795691.3981
MEM 34.269531 1683795691.4983
MEM 34.273438 1683795691.5987
MEM 41.320312 1683795691.6993
MEM 56.808594 1683795691.7994
MEM 62.101562 1683795691.8996
MEM 62.105469 1683795691.9999
MEM 62.109375 1683795692.1002
MEM 62.410156 1683795692.2008
MEM 62.460938 1683795692.3010
MEM 62.460938 1683795692.4014
MEM 62.460938 1683795692.5019
MEM 62.460938 1683795692.6025
MEM 62.460938 1683795692.7031
MEM 62.468750 1683795692.8033
MEM 62.468750 1683795692.9038
MEM 62.468750 1683795693.0043
MEM 62.472656 1683795693.1055
MEM 62.496094 1683795693.2059
MEM 62.496094 1683795693.3067
MEM 62.496094 1683795693.4079
MEM 62.496094 1683795693.5084
MEM 62.476562 1683795693.6090
MEM 62.476562 1683795693.7098
MEM 62.476562 1683795693.8102
MEM 62.937500 1683795693.9105
MEM 62.992188 1683795694.0110
MEM 63.015625 1683795694.1119
MEM 63.015625 1683795694.2131
MEM 63.015625 1683795694.3136
MEM 62.996094 1683795694.4143
MEM 62.996094 1683795694.5150
MEM 62.996094 1683795694.6158
MEM 63.003906 1683795694.7161
MEM 63.234375 1683795694.8168
MEM 63.234375 1683795694.9175
MEM 63.234375 1683795695.0179
MEM 63.234375 1683795695.1186
MEM 63.234375 1683795695.2191
MEM 63.234375 1683795695.3198
MEM 63.234375 1683795695.4205
MEM 63.234375 1683795695.5220
MEM 63.453125 1683795695.6230
MEM 63.453125 1683795695.7237
MEM 63.453125 1683795695.8241
MEM 63.453125 1683795695.9245
MEM 63.453125 1683795696.0254
MEM 63.453125 1683795696.1259
MEM 63.453125 1683795696.2266
MEM 63.453125 1683795696.3270
MEM 63.453125 1683795696.4277
MEM 63.691406 1683795696.5282
MEM 63.691406 1683795696.6290
MEM 63.691406 1683795696.7296
MEM 63.691406 1683795696.8305
MEM 63.703125 1683795696.9313
MEM 63.703125 1683795697.0320
MEM 63.703125 1683795697.1327
MEM 63.703125 1683795697.2334
MEM 63.707031 1683795697.3342
MEM 64.054688 1683795697.4352
MEM 64.054688 1683795697.5356
MEM 64.054688 1683795697.6365
MEM 64.054688 1683795697.7372
MEM 64.058594 1683795697.8378
MEM 64.058594 1683795697.9397
MEM 64.058594 1683795698.0404
MEM 64.058594 1683795698.1408
MEM 64.058594 1683795698.2415
MEM 64.058594 1683795698.3420
MEM 64.058594 1683795698.4428
MEM 63.863281 1683795698.5436
MEM 63.863281 1683795698.6443
MEM 61.933594 1683795698.7447
MEM 61.933594 1683795698.8452
MEM 61.933594 1683795698.9458
MEM 66.089844 1683795699.0459
MEM 66.089844 1683795699.1463
MEM 66.089844 1683795699.2470
MEM 66.089844 1683795699.3476
MEM 66.089844 1683795699.4480
MEM 66.089844 1683795699.5485
MEM 66.089844 1683795699.6492
MEM 66.089844 1683795699.7496
MEM 66.089844 1683795699.8503
MEM 66.101562 1683795699.9509
MEM 66.101562 1683795700.0515
MEM 66.101562 1683795700.1525
MEM 66.101562 1683795700.2527
MEM 66.101562 1683795700.3534
MEM 66.101562 1683795700.4538
MEM 66.101562 1683795700.5544
MEM 66.101562 1683795700.6558
MEM 66.101562 1683795700.7564
MEM 66.101562 1683795700.8568
MEM 66.156250 1683795700.9601
MEM 66.523438 1683795701.0606
MEM 66.589844 1683795701.1613
MEM 66.589844 1683795701.2618
MEM 66.593750 1683795701.3621
MEM 66.597656 1683795701.4625
MEM 66.597656 1683795701.5630
MEM 66.597656 1683795701.6631
MEM 66.597656 1683795701.7634
MEM 66.597656 1683795701.8640
