CMDLINE C:\Users\pribu\AppData\Local\Programs\Python\Python311\python.exe main.py
MEM 1.675781 1683796410.2397
MEM 26.523438 1683796410.3504
MEM 34.191406 1683796410.4511
MEM 34.191406 1683796410.5517
MEM 34.191406 1683796410.6522
MEM 34.191406 1683796410.7525
MEM 34.191406 1683796410.8530
MEM 34.191406 1683796410.9535
MEM 34.191406 1683796411.0543
MEM 34.191406 1683796411.1550
MEM 34.191406 1683796411.2555
MEM 34.191406 1683796411.3557
MEM 35.605469 1683796411.4563
MEM 47.882812 1683796411.5565
MEM 60.679688 1683796411.6568
MEM 63.046875 1683796411.7572
MEM 63.046875 1683796411.8576
MEM 63.050781 1683796411.9583
MEM 63.050781 1683796412.0588
MEM 63.062500 1683796412.1591
MEM 63.062500 1683796412.2599
MEM 63.062500 1683796412.3603
MEM 63.066406 1683796412.4608
MEM 63.066406 1683796412.5610
MEM 63.074219 1683796412.6617
MEM 63.074219 1683796412.7624
MEM 63.074219 1683796412.8631
MEM 63.074219 1683796412.9635
MEM 63.101562 1683796413.0639
MEM 63.082031 1683796413.1644
MEM 62.496094 1683796413.2649
MEM 62.496094 1683796413.3670
MEM 63.167969 1683796413.4676
MEM 63.167969 1683796413.5683
MEM 63.167969 1683796413.6690
MEM 63.183594 1683796413.7697
MEM 63.601562 1683796413.8705
MEM 63.726562 1683796413.9712
MEM 63.726562 1683796414.0719
MEM 63.726562 1683796414.1725
MEM 63.726562 1683796414.2729
MEM 63.726562 1683796414.3733
MEM 63.726562 1683796414.4740
MEM 63.726562 1683796414.5746
MEM 63.726562 1683796414.6753
MEM 63.726562 1683796414.7757
MEM 63.890625 1683796414.8762
MEM 64.093750 1683796414.9767
MEM 64.101562 1683796415.0771
MEM 64.101562 1683796415.1775
MEM 64.101562 1683796415.2781
MEM 64.101562 1683796415.3788
MEM 64.101562 1683796415.4793
MEM 64.101562 1683796415.5802
MEM 64.101562 1683796415.6807
MEM 64.101562 1683796415.7814
MEM 64.101562 1683796415.8817
MEM 64.113281 1683796415.9824
MEM 64.562500 1683796416.0831
MEM 64.562500 1683796416.1840
MEM 64.562500 1683796416.2844
MEM 64.562500 1683796416.3848
MEM 64.367188 1683796416.4858
MEM 64.367188 1683796416.5862
MEM 64.367188 1683796416.6869
MEM 64.367188 1683796416.7881
MEM 64.375000 1683796416.8888
MEM 64.375000 1683796416.9894
MEM 64.496094 1683796417.0901
MEM 64.726562 1683796417.1909
MEM 64.726562 1683796417.2916
MEM 64.726562 1683796417.3924
MEM 64.031250 1683796417.4930
MEM 64.031250 1683796417.5933
MEM 62.359375 1683796417.6945
MEM 62.359375 1683796417.7955
MEM 63.304688 1683796417.8962
MEM 64.617188 1683796417.9969
MEM 64.617188 1683796418.0974
MEM 64.617188 1683796418.1980
MEM 64.617188 1683796418.2987
MEM 64.617188 1683796418.3991
MEM 64.617188 1683796418.4993
MEM 64.617188 1683796418.5999
MEM 64.617188 1683796418.7004
MEM 64.617188 1683796418.8009
MEM 64.628906 1683796418.9017
MEM 64.628906 1683796419.0022
MEM 64.628906 1683796419.1030
MEM 64.628906 1683796419.2037
MEM 64.628906 1683796419.3041
MEM 64.628906 1683796419.4046
MEM 64.628906 1683796419.5050
MEM 64.628906 1683796419.6057
MEM 65.144531 1683796419.7061
MEM 65.156250 1683796419.8067
MEM 65.156250 1683796419.9068
MEM 65.156250 1683796420.0073
MEM 65.156250 1683796420.1075
MEM 65.156250 1683796420.2080
MEM 65.156250 1683796420.3084
MEM 65.156250 1683796420.4088
MEM 65.156250 1683796420.5092
MEM 65.156250 1683796420.6096
MEM 65.156250 1683796420.7098
MEM 65.156250 1683796420.8102
MEM 65.156250 1683796420.9108
MEM 65.156250 1683796421.0110
MEM 65.156250 1683796421.1116
MEM 65.160156 1683796421.2118
MEM 65.160156 1683796421.3122
MEM 65.160156 1683796421.4125
MEM 65.160156 1683796421.5127
MEM 65.160156 1683796421.6135
MEM 65.160156 1683796421.7140
MEM 65.160156 1683796421.8142
MEM 65.160156 1683796421.9149
MEM 65.160156 1683796422.0153
MEM 65.164062 1683796422.1157
MEM 65.164062 1683796422.2159
MEM 65.164062 1683796422.3160
MEM 65.164062 1683796422.4166
MEM 65.164062 1683796422.5168
MEM 65.164062 1683796422.6175
MEM 65.171875 1683796422.7182
MEM 65.171875 1683796422.8185
MEM 65.171875 1683796422.9190
MEM 65.171875 1683796423.0197
MEM 65.171875 1683796423.1202
MEM 65.171875 1683796423.2208
MEM 65.175781 1683796423.3209
MEM 65.175781 1683796423.4211
MEM 65.175781 1683796423.5216
MEM 65.175781 1683796423.6218
MEM 65.175781 1683796423.7224
MEM 65.175781 1683796423.8225
MEM 65.175781 1683796423.9228
MEM 65.175781 1683796424.0233
MEM 65.179688 1683796424.1238
MEM 65.179688 1683796424.2244
MEM 65.179688 1683796424.3248
MEM 65.179688 1683796424.4258
MEM 65.179688 1683796424.5261
MEM 65.179688 1683796424.6263
MEM 65.183594 1683796424.7268
MEM 65.183594 1683796424.8271
MEM 65.183594 1683796424.9274
MEM 65.183594 1683796425.0277
MEM 65.183594 1683796425.1280
MEM 65.183594 1683796425.2283
MEM 65.183594 1683796425.3287
MEM 65.187500 1683796425.4290
MEM 65.187500 1683796425.5294
MEM 65.187500 1683796425.6297
MEM 65.187500 1683796425.7302
MEM 65.187500 1683796425.8305
MEM 65.187500 1683796425.9306
MEM 65.187500 1683796426.0311
MEM 65.191406 1683796426.1317
MEM 65.191406 1683796426.2319
MEM 65.191406 1683796426.3323
MEM 65.191406 1683796426.4330
MEM 65.191406 1683796426.5335
MEM 65.191406 1683796426.6340
MEM 65.191406 1683796426.7344
MEM 65.191406 1683796426.8348
MEM 65.191406 1683796426.9354
MEM 65.195312 1683796427.0361
